target_word,similar_word,similarity_score,method,model
人道主義,主義,0.9996420244143578,pearson,fasttext
人道主義,人生,0.9996167928480336,pearson,fasttext
人道主義,一篇,0.999594923476969,pearson,fasttext
人道主義,欣賞,0.9995884974450309,pearson,fasttext
人道主義,寫出,0.999586664849612,pearson,fasttext
人道主義,來說,0.9995839713877386,pearson,fasttext
人道主義,藝術家,0.9995834475156772,pearson,fasttext
人道主義,一方面,0.9995785153995409,pearson,fasttext
人道主義,封建主義,0.9995781941191987,pearson,fasttext
人道主義,個人主義,0.9995770258810204,pearson,fasttext
人道主義,人類,0.9995762761856635,pearson,fasttext
人道主義,力量,0.9995734198567727,pearson,fasttext
人道主義,目的,0.9995712959423265,pearson,fasttext
人道主義,創作經驗,0.999570895821284,pearson,fasttext
人道主義,來看,0.9995691603378397,pearson,fasttext
人道主義,文章,0.9995689100916981,pearson,fasttext
人道主義,自然,0.999567503031907,pearson,fasttext
人道主義,理論,0.999566862612271,pearson,fasttext
人道主義,劇評,0.9995666011916229,pearson,fasttext
人道主義,作爲,0.9995658700274243,pearson,fasttext
