target_word,similar_word,similarity_score,method,model
人文主義,封建主義,0.9996745149496453,pearson,fasttext
人文主義,文章,0.9996731667144272,pearson,fasttext
人文主義,之中,0.9996718888551224,pearson,fasttext
人文主義,創造,0.9996632371689581,pearson,fasttext
人文主義,一部,0.9996631600035039,pearson,fasttext
人文主義,存在,0.9996595743820977,pearson,fasttext
人文主義,的確,0.999659567920058,pearson,fasttext
人文主義,便是,0.999658264588553,pearson,fasttext
人文主義,自然,0.9996578228986697,pearson,fasttext
人文主義,缺乏,0.9996568403656223,pearson,fasttext
人文主義,主義,0.9996551627372565,pearson,fasttext
人文主義,方法,0.9996546421120404,pearson,fasttext
人文主義,認識,0.9996541219303445,pearson,fasttext
人文主義,目的,0.9996515053660708,pearson,fasttext
人文主義,青年人,0.9996513771394236,pearson,fasttext
人文主義,大都,0.9996487342224475,pearson,fasttext
人文主義,算是,0.9996472337409539,pearson,fasttext
人文主義,發表,0.9996462868677428,pearson,fasttext
人文主義,國語,0.999646201899977,pearson,fasttext
人文主義,地位,0.9996459921371391,pearson,fasttext
