target_word,similar_word,similarity_score,method,model
人道,圖案,0.8688524590163934,jaccard,fasttext
人道,懷才不遇,0.8666666666666667,jaccard,fasttext
人道,刻毒,0.8548387096774194,jaccard,fasttext
人道,倘要,0.8548387096774194,jaccard,fasttext
人道,洗面,0.8548387096774194,jaccard,fasttext
人道,正多,0.8524590163934426,jaccard,fasttext
人道,高宇君,0.8524590163934426,jaccard,fasttext
人道,物體,0.8524590163934426,jaccard,fasttext
人道,論理,0.8524590163934426,jaccard,fasttext
人道,多變,0.8524590163934426,jaccard,fasttext
人道,同宗,0.8524590163934426,jaccard,fasttext
人道,石班,0.8524590163934426,jaccard,fasttext
人道,所以然,0.8524590163934426,jaccard,fasttext
人道,巨人,0.8524590163934426,jaccard,fasttext
人道,奢華,0.8524590163934426,jaccard,fasttext
人道,抽噎,0.8524590163934426,jaccard,fasttext
人道,蟹行,0.8524590163934426,jaccard,fasttext
人道,了結,0.8524590163934426,jaccard,fasttext
人道,鳳凰,0.85,jaccard,fasttext
人道,瞭的,0.85,jaccard,fasttext
