target_word,similar_word,similarity_score,method,model
人本主義,理論,0.9995319531953195,spearman,fasttext
人本主義,本刊,0.9995199519951995,spearman,fasttext
人本主義,造成,0.9994839483948393,spearman,fasttext
人本主義,欣賞,0.9994719471947193,spearman,fasttext
人本主義,性格,0.9994719471947193,spearman,fasttext
人本主義,年來,0.9994719471947193,spearman,fasttext
人本主義,出版,0.9994599459945993,spearman,fasttext
人本主義,近年來,0.9994599459945993,spearman,fasttext
人本主義,已有,0.9994479447944794,spearman,fasttext
人本主義,况且,0.9994479447944794,spearman,fasttext
人本主義,不够,0.9994479447944794,spearman,fasttext
人本主義,近兩年來,0.9994359435943594,spearman,fasttext
人本主義,青年,0.9994239423942393,spearman,fasttext
人本主義,東西,0.9994239423942393,spearman,fasttext
人本主義,介紹,0.9994239423942393,spearman,fasttext
人本主義,不見得,0.9994239423942393,spearman,fasttext
人本主義,主義,0.9994119411941192,spearman,fasttext
人本主義,便是,0.9994119411941192,spearman,fasttext
人本主義,努力,0.9994119411941192,spearman,fasttext
人本主義,有些,0.9994119411941192,spearman,fasttext
